id	gold	rater1	rater2	rater3
newspapers/showbiz/27.09.99/millenium/millenium116_mirror	plagiarism	plagiarism	plagiarism	nonplagiarism
newspapers/courts/12.08.99/traveller/traveller188_telegraph	nonplagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/showbiz/14.12.99/panto/panto168_star	plagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/showbiz/12.08.99/blackadder/blackadder71_mail	plagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/showbiz/07.01.00/depp/depp146_star	plagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/courts/02.11.99/wight/wight287_times	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/showbiz/12.08.99/blackadder/blackadder66_star	nonplagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/courts/26.01.00/war/war697_independent	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/14.07.99/fowler/fowler203_star	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/showbiz/21.06.00/gallagher/gallagher98_sun	plagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/showbiz/10.08.99/enfield/enfield50_express	plagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/showbiz/27.01.00/eastenders/eastenders130_star	plagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/courts/16.07.99/baby/baby85_star	nonplagiarism	plagiarism	nonplagiarism	nonplagiarism
newspapers/courts/22.11.99/rubbish/rubbish623_star	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/showbiz/08.08.99/shaw/shaw10_mail	nonplagiarism	plagiarism	plagiarism	nonplagiarism
newspapers/showbiz/12.08.99/blackadder/blackadder73_express	nonplagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/showbiz/08.08.99/shaw/shaw6_star	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/12.08.99/granny/granny190_telegraph	plagiarism	nonplagiarism	nonplagiarism	plagiarism
newspapers/showbiz/12.08.99/blackadder/blackadder60_sun	plagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/courts/17.04.00/informant/informant755_times	plagiarism	plagiarism	nonplagiarism	plagiarism
newspapers/courts/17.04.00/nursery/nursery757_telegraph	nonplagiarism	plagiarism	nonplagiarism	nonplagiarism
newspapers/showbiz/14.12.99/united/united172_times	plagiarism	nonplagiarism	plagiarism	nonplagiarism
newspapers/courts/02.11.99/chips/chips274_mirror	nonplagiarism	nonplagiarism	plagiarism	nonplagiarism
newspapers/courts/12.07.99/walker/walker9_mirror	plagiarism	plagiarism	nonplagiarism	nonplagiarism
newspapers/showbiz/07.01.00/oasis/oasis148_star	plagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/showbiz/17.04.00/holden/holden111_mirror	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/showbiz/21.06.00/winslet/winslet107_guardian	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/21.02.00/home/home512_star	nonplagiarism	plagiarism	nonplagiarism	nonplagiarism
newspapers/courts/08.12.99/chief/chief372_independent	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/28.09.99/head/head588_guardian	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/12.08.99/traveller/traveller185_times	nonplagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/courts/08.12.99/chief/chief349_times	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/12.07.99/policeman/policeman38_times	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/04.10.99/raider/raider266_independent	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/showbiz/09.08.99/stretch/stretch25_star	nonplagiarism	nonplagiarism	nonplagiarism	plagiarism
newspapers/courts/16.07.99/fan/fan80_star	plagiarism	plagiarism	nonplagiarism	plagiarism
newspapers/showbiz/12.08.99/spice/spice62_sun	plagiarism	plagiarism	plagiarism	nonplagiarism
newspapers/courts/17.04.00/farmer/farmer758_telegraph	nonplagiarism	nonplagiarism	plagiarism	nonplagiarism
newspapers/courts/22.11.99/babies/babies620_mirror	plagiarism	nonplagiarism	plagiarism	nonplagiarism
newspapers/courts/09.08.99/royal/royal152_star	nonplagiarism	plagiarism	nonplagiarism	nonplagiarism
newspapers/courts/09.08.99/porn/porn162_telegraph	plagiarism	plagiarism	plagiarism	nonplagiarism
newspapers/courts/07.10.99/punch/punch248_times	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/26.01.00/driver/driver668_sun	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/15.03.00/baby/baby411_guardian	plagiarism	plagiarism	plagiarism	nonplagiarism
newspapers/courts/01.03.00/francis/francis386_mail	plagiarism	plagiarism	nonplagiarism	nonplagiarism
newspapers/courts/17.04.00/nursery/nursery749_mail	nonplagiarism	nonplagiarism	nonplagiarism	plagiarism
newspapers/courts/22.11.99/salesman/salesman637_times	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/12.08.99/traveller/traveller171_sun	plagiarism	nonplagiarism	nonplagiarism	plagiarism
newspapers/courts/01.03.00/francis/francis393_guardian	plagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/showbiz/27.09.99/beegees/beegees119_times	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/16.07.99/torture/torture83_star	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/21.02.00/mp/mp527_independent	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/showbiz/12.08.99/spice/spice68_star	nonplagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/courts/02.11.99/chips/chips295_telegraph	nonplagiarism	plagiarism	nonplagiarism	nonplagiarism
newspapers/showbiz/07.01.00/street/street149_star	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/27.01.00/drink/drink716_times	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/showbiz/17.04.00/holden/holden112_star	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/18.02.00/stakeout/stakeout550_telegraph	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/26.01.00/bahamas/bahamas701_times	nonplagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/courts/12.07.99/policeman/policeman47_telegraph	plagiarism	nonplagiarism	plagiarism	nonplagiarism
newspapers/courts/22.11.99/rubbish/rubbish657_independent	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/04.10.99/dj/dj265_independent	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/14.12.99/boy/boy420_star	nonplagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/showbiz/10.08.99/enfield/enfield35_sun	plagiarism	plagiarism	nonplagiarism	nonplagiarism
newspapers/courts/01.03.00/wagstaff/wagstaff391_telegraph	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/03.04.00/harass/harass486_times	plagiarism	plagiarism	plagiarism	nonplagiarism
newspapers/courts/03.04.00/husband/husband497_guardian	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/21.02.00/home/home506_sun	nonplagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/courts/16.07.99/banker/banker125_telegraph	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/22.11.99/pool/pool611_sun	plagiarism	plagiarism	plagiarism	nonplagiarism
newspapers/courts/27.01.00/damages/damages732_sun	plagiarism	plagiarism	nonplagiarism	nonplagiarism
newspapers/courts/15.03.00/shooting/shooting404_mail	nonplagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/courts/18.02.00/abuse/abuse551_telegraph	nonplagiarism	nonplagiarism	plagiarism	plagiarism
newspapers/courts/27.01.00/drink/drink728_independent	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/showbiz/14.12.99/united/united166_mirror	plagiarism	nonplagiarism	plagiarism	nonplagiarism
newspapers/courts/17.04.00/informant/informant766_guardian	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/09.08.99/porn/porn145_sun	plagiarism	plagiarism	nonplagiarism	plagiarism
newspapers/courts/18.02.00/cars/cars530_mirror	nonplagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/showbiz/14.12.99/panto/panto163_sun	plagiarism	plagiarism	nonplagiarism	nonplagiarism
newspapers/showbiz/22.11.99/christmas/christmas161_independent	plagiarism	plagiarism	nonplagiarism	nonplagiarism
newspapers/courts/12.07.99/lovers/lovers55_guardian	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/07.10.99/hamilton/hamilton251_telegraph	plagiarism	plagiarism	nonplagiarism	nonplagiarism
newspapers/courts/27.01.00/drink/drink708_mirror	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/14.12.99/boy/boy422_mail	nonplagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/showbiz/09.08.99/casualty/casualty21_mirror	plagiarism	plagiarism	plagiarism	nonplagiarism
newspapers/courts/12.07.99/police/police53_guardian	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/12.08.99/traveller/traveller181_express	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/27.09.99/pinochetcharge/pinochetcharge609_guardian	nonplagiarism	plagiarism	nonplagiarism	plagiarism
newspapers/courts/01.03.00/francis/francis378_mirror	plagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/courts/16.07.99/transplant/transplant97_express	nonplagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/courts/21.02.00/mp/mp525_guardian	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/showbiz/13.08.99/spice/spice80_star	plagiarism	plagiarism	nonplagiarism	plagiarism
newspapers/courts/17.04.00/vanessa/vanessa756_times	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/12.07.99/walker/walker48_telegraph	plagiarism	plagiarism	plagiarism	nonplagiarism
newspapers/courts/09.08.99/royal/royal159_times	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/17.04.00/nursery/nursery765_guardian	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/showbiz/22.11.99/cilla/cilla157_mirror	plagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/courts/03.04.00/fraud/fraud496_guardian	plagiarism	plagiarism	plagiarism	nonplagiarism
newspapers/showbiz/17.04.00/holden/holden109_sun	plagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/courts/01.03.00/wagstaff/wagstaff376_sun	plagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/courts/22.11.99/father/father644_telegraph	plagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/showbiz/07.01.00/posh/posh145_star	plagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/showbiz/12.08.99/street/street72_express	nonplagiarism	plagiarism	nonplagiarism	nonplagiarism
newspapers/courts/07.10.99/knickers/knickers257_telegraph	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/09.08.99/royal/royal146_sun	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/16.07.99/transplant/transplant82_star	plagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/courts/27.09.99/pinochetcharge/pinochetcharge608_telegraph	nonplagiarism	nonplagiarism	plagiarism	plagiarism
newspapers/courts/26.01.00/driver/driver675_mail	nonplagiarism	nonplagiarism	plagiarism	nonplagiarism
newspapers/showbiz/13.08.99/elton/elton78_star	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/showbiz/07.01.00/street/street150_express	plagiarism	nonplagiarism	plagiarism	plagiarism
newspapers/courts/02.11.99/chips/chips277_star	nonplagiarism	plagiarism	plagiarism	plagiarism
newspapers/showbiz/12.08.99/blackadder/blackadder63_mirror	nonplagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/courts/07.01.00/soldier/soldier566_telegraph	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/01.03.00/francis/francis385_express	plagiarism	nonplagiarism	plagiarism	plagiarism
newspapers/courts/02.11.99/chips/chips271_sun	nonplagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/courts/07.01.00/soldier/soldier562_times	nonplagiarism	plagiarism	nonplagiarism	nonplagiarism
newspapers/courts/17.04.00/vanessa/vanessa760_telegraph	plagiarism	plagiarism	nonplagiarism	nonplagiarism
newspapers/courts/17.04.00/nursery/nursery753_times	nonplagiarism	nonplagiarism	nonplagiarism	plagiarism
newspapers/showbiz/22.11.99/daytime/daytime154_sun	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/showbiz/10.08.99/aled/aled38_mirror	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/showbiz/09.08.99/stretch/stretch27_mail	nonplagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/showbiz/21.06.00/beckham/beckham106_times	plagiarism	nonplagiarism	plagiarism	nonplagiarism
newspapers/courts/12.08.99/traveller/traveller195_guardian	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/09.08.99/royal/royal148_mirror	plagiarism	plagiarism	nonplagiarism	plagiarism
newspapers/showbiz/08.08.99/shaw/shaw1_sun	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/21.02.00/home/home522_telegraph	nonplagiarism	nonplagiarism	plagiarism	nonplagiarism
newspapers/courts/01.03.00/francis/francis394_guardian	plagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/courts/21.06.00/broadmoor/broadmoor787_times	plagiarism	plagiarism	plagiarism	nonplagiarism
newspapers/courts/17.04.00/vanessa/vanessa771_independent	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/18.02.00/abuse/abuse537_express	nonplagiarism	plagiarism	plagiarism	nonplagiarism
newspapers/showbiz/10.08.99/enfield/enfield48_mail	nonplagiarism	nonplagiarism	plagiarism	plagiarism
newspapers/showbiz/09.08.99/stretch/stretch22_mirror	nonplagiarism	nonplagiarism	plagiarism	plagiarism
newspapers/courts/02.11.99/chips/chips301_guardian	nonplagiarism	plagiarism	plagiarism	plagiarism
